,region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities
71,Тверская область,4.579437157218633,8.626803632674811,7.745079325951911,77.44774468222924,9336.798,11.924999999999999,22.700000000000003,26092.5,99.475,32065.5,105.0,37.474999999999994,7.375000000000001,55.1,17.5,2.533333333333333,367555.89999999997,653.37652449692,193822.4,8.16,44.480000000000004,86.58,1268232.2,15496.2,9274.76,16.8,29.3,53.9,4.54,49.87
72,Томская область,4.603914327614372,10.121809662018606,11.75510104767198,53.15564144587112,7430.6630000000005,14.674999999999999,22.5,27807.75,98.55,43418.75,103.875,40.225,4.5,55.3,16.9,2.066666666666667,544480.75,756.3498460194039,160401.8,8.959999999999999,37.339999999999996,79.34,1072807.0,17161.2,11288.78,19.040000000000003,22.82,58.14,8.58,53.186
73,Тульская область,5.702885523038736,7.601615630966217,5.404567074074687,97.06019468464635,7862.184,10.075,24.175,28094.0,97.925,36334.75,104.775,39.925,3.6000000000000005,56.474999999999994,16.6,1.2,448943.10000000003,1051.8235941976575,206532.2,10.2,66.84,88.3,1523949.8,16404.079999999998,9287.8,14.940000000000001,30.359999999999996,54.7,3.5200000000000005,73.22200000000001
74,Тюменская область,4.061308859609721,12.926179552884586,4.3899770966900835,25.05616933442294,0.0,12.1,20.25,47189.75,101.92500000000001,70954.75,103.85000000000001,44.449999999999996,4.975,50.55,18.1,3.9666666666666663,2160744.7,4274.791538312354,262354.4,12.933333333333332,55.96666666666667,99.78,3736532.0,20347.539999999997,12004.419999999998,22.619999999999997,17.639999999999997,59.739999999999995,4.8,74.59200000000001
75,Удмуртская Республика,4.447800180882472,10.507126425247822,12.65594820432559,70.55486663573997,9987.828000000001,12.174999999999999,21.975,24584.25,98.65,32808.75,104.94999999999999,42.975,6.2749999999999995,50.775000000000006,14.8,2.8333333333333335,443020.1,851.8508192596096,160161.8,8.68,49.82,84.4,1480227.4,15600.579999999998,10327.52,20.5,24.8,54.7,4.86,55.864
76,Ульяновская область,4.650986150065265,9.07897913020186,7.751285967391408,91.11861160582218,8975.181999999999,15.175,26.425,23592.25,97.77499999999999,29447.0,103.6,35.575,4.9,59.525000000000006,17.9,3.1333333333333333,327954.675,525.2524105773991,161086.0,15.9,77.9,82.84,1228164.0,14796.4,9177.34,16.54,28.859999999999996,54.6,5.180000000000001,63.65
77,Хабаровский край,4.738226226236783,11.035381033264397,11.320364424796724,51.52107058383139,7404.379,12.225,23.125,39845.25,99.05,48236.0,103.32499999999999,37.525,8.025,54.475,15.4,3.633333333333333,591627.7,673.8412078847041,263417.4,19.119999999999997,135.6,88.34,1314980.0,18218.1,11026.52,18.98,22.740000000000002,58.260000000000005,5.0,74.104
78,Ханты-Мансийский автономный округ,3.8303139835873976,12.781354113409815,7.432870191488696,30.09981097420566,15019.671999999999,8.95,16.225,51800.5,101.19999999999999,73131.0,102.55,46.725,5.050000000000001,48.2,13.9,3.5666666666666664,2399827.125,5017.543273607749,260346.8,6.419999999999999,32.34,105.94000000000001,1673917.4,22998.34,13522.439999999999,23.1,15.839999999999998,61.08,3.9,84.602
79,Челябинская область,5.067306363118013,10.301639997260507,12.40131063204968,63.53193340178707,9047.94,12.85,24.325,25039.5,99.47500000000001,36063.5,102.925,42.225,3.25,54.550000000000004,16.0,3.266666666666667,438610.075,974.0019484538972,164212.4,19.720000000000002,63.94000000000001,91.32000000000001,3478170.8,15756.059999999998,10191.52,19.419999999999998,25.580000000000002,54.98,7.080000000000001,71.48400000000001
80,Чеченская Республика,6.912822195717159,20.38006197594499,0.7732401378678011,107.92039803990187,3659.362,20.575000000000003,30.375,23603.75,100.1,26738.5,103.45,46.02499999999999,6.6499999999999995,47.324999999999996,19.2,3.533333333333333,160454.075,50.78508882026988,122433.6,1.44,3.5200000000000005,63.98,1456493.4,14887.460000000001,11850.099999999999,33.739999999999995,10.4,55.85999999999999,44.16,71.834
81,Чувашская Республика,3.1281970236259378,10.06298784824914,8.066388321005386,64.55269050814422,9053.967,17.6,22.975,19432.75,101.15,28270.25,105.39999999999999,32.9,5.699999999999999,61.425,14.2,5.233333333333333,265985.325,390.8725898178877,136751.4,1.08,71.5,74.1,1212341.0,14774.98,9004.060000000001,19.18,25.06,55.760000000000005,5.0600000000000005,60.024
82,Чукотский автономный округ,13.036051031922142,11.88300449569226,14.327327215856133,33.13454072834313,12784.077,8.45,6.475,81189.25,103.64999999999999,104651.75,105.05000000000001,24.475,0.675,24.85,14.1,4.633333333333334,1864428.7750000001,3878.728954213213,205954.2,0.8,263.23999999999995,108.38,48171.6,27286.5,16497.78,22.720000000000002,14.7,62.58,7.720000000000001,75.43199999999999
83,Ямало-Ненецкий автономный округ,5.22379764060594,13.962282418985476,8.869381230890301,26.543859084213835,11153.14,5.55,13.4,82110.25,103.7,99842.5,105.025,47.699999999999996,1.05,51.225,15.5,2.6333333333333333,5251379.3,10898.353855170728,262558.4,14.24,74.96000000000001,120.78,510645.6,23117.26,12799.16,23.979999999999997,11.84,64.17999999999999,3.4799999999999995,86.838
84,Ярославская область,4.046711659506714,9.303471689085473,7.560604967475962,83.78675376556073,9626.559000000001,10.275,22.9,28106.75,97.975,34507.5,103.125,36.325,5.275,58.425,15.8,1.5,465438.45,709.8749483879488,203151.4,8.68,55.82000000000001,89.64000000000001,1242378.0,16011.86,9615.019999999999,17.28,28.339999999999996,54.379999999999995,6.04,70.138
